symbol;currency_group;currency_base;currency_quote
"EUR/KZT";"Exotic-Cross";"Euro";"Kazakh Tenge"
"EUR/LAK";"Exotic-Cross";"Euro";"Lao Kip"
"EUR/LBP";"Exotic-Cross";"Euro";"Lebanese Pound"
"EUR/LKR";"Exotic-Cross";"Euro";"Sri Lankan Rupee"
"EUR/LSL";"Exotic-Cross";"Euro";"Lesotho loti"
"EUR/LYD";"Exotic-Cross";"Euro";"Libyan Dinar"
"EUR/MAD";"Exotic-Cross";"Euro";"Moroccan Dirham"
"EUR/MDL";"Exotic-Cross";"Euro";"Moldovan Leu"
"EUR/MGA";"Exotic-Cross";"Euro";"Malagasy Ariary"
"EUR/MKD";"Exotic-Cross";"Euro";"Macedonian Denar"
"EUR/MMK";"Exotic-Cross";"Euro";"Myanmar kyat"
"EUR/MOP";"Exotic-Cross";"Euro";"Macanese Pataca"
"EUR/MUR";"Exotic-Cross";"Euro";"Mauritian Rupee"
"EUR/MWK";"Exotic-Cross";"Euro";"Malawian Kwacha"
"EUR/MXN";"Exotic-Cross";"Euro";"Mexican Peso"
"EUR/MYR";"Exotic-Cross";"Euro";"Malaysian Ringgit"
"EUR/MZN";"Exotic";"Euro";"Mozambican Metical"
"EUR/NAD";"Exotic-Cross";"Euro";"Namibian Dollar"
"EUR/NGN";"Exotic-Cross";"Euro";"Nigerian Naira"
"EUR/NIO";"Exotic-Cross";"Euro";"Nicaraguan Cordoba"
"EUR/NOK";"Exotic-Cross";"Euro";"Norwegian Krone"
"EUR/NPR";"Exotic-Cross";"Euro";"Nepalese Rupee"
"EUR/NZD";"Minor";"Euro";"New Zealand Dollar"
"EUR/OMR";"Exotic-Cross";"Euro";"Omani Rial"
"EUR/PAB";"Exotic-Cross";"Euro";"Panamanian Balboa"
"EUR/PEN";"Exotic-Cross";"Euro";"Peru Sol"
"EUR/PGK";"Exotic-Cross";"Euro";"Papua New Guinean kina"
"EUR/PHP";"Exotic-Cross";"Euro";"Philippine Peso"
"EUR/PKR";"Exotic-Cross";"Euro";"Pakistani Rupee"
"EUR/PLN";"Exotic-Cross";"Euro";"Polish Zloty"
"EUR/PYG";"Exotic-Cross";"Euro";"Paraguayan Guarani"
"EUR/QAR";"Exotic-Cross";"Euro";"Qatari Riyal"
"EUR/RON";"Exotic-Cross";"Euro";"Romanian Leu"
"EUR/RSD";"Exotic-Cross";"Euro";"Serbian Dinar"
"EUR/RUB";"Exotic-Cross";"Euro";"Russian Ruble"
"EUR/RWF";"Exotic-Cross";"Euro";"Rwandan Franc"
"EUR/SAR";"Exotic-Cross";"Euro";"Saudi Riyal"
"EUR/SCR";"Exotic-Cross";"Euro";"Seychelles Rupee"
"EUR/SDG";"Exotic-Cross";"Euro";"Sudanese Pound"
"EUR/SEK";"Exotic-Cross";"Euro";"Swedish Krona"
"EUR/SGD";"Exotic-Cross";"Euro";"Singapore Dollar"
"EUR/SOS";"Exotic-Cross";"Euro";"Somali Shilling"
"EUR/SVC";"Exotic-Cross";"Euro";"El Salvador Colon"
"EUR/SZL";"Exotic-Cross";"Euro";"Swazi Lilangeni"
"EUR/THB";"Exotic-Cross";"Euro";"Thai Baht"
"EUR/TJS";"Minor";"Euro";"Tajikistani somoni"
"EUR/TND";"Exotic-Cross";"Euro";"Tunisian Dinar"
"EUR/TRY";"Exotic-Cross";"Euro";"Turkish Lira"
"EUR/TTD";"Exotic-Cross";"Euro";"Trinidad Dollar"
"EUR/TWD";"Exotic-Cross";"Euro";"Taiwan Dollar"
"EUR/TZS";"Exotic-Cross";"Euro";"Tanzanian Shilling"
"EUR/UAH";"Exotic-Cross";"Euro";"Ukrainian Hryvnia"
"EUR/UGX";"Exotic-Cross";"Euro";"Ugandan Shilling"
"EUR/USD";"Major";"Euro";"US Dollar"
"EUR/UYU";"Exotic-Cross";"Euro";"Uruguayan Peso"
"EUR/UZS";"Exotic-Cross";"Euro";"Uzbekistani Sum"
"EUR/VND";"Exotic-Cross";"Euro";"Vietnamese Dong"
"EUR/XAF";"Exotic-Cross";"Euro";"Central African CFA franc"
"EUR/XCD";"Exotic-Cross";"Euro";"East Caribbean Dollar"
"EUR/XOF";"Exotic-Cross";"Euro";"West African CFA franc"
"EUR/XPF";"Exotic-Cross";"Euro";"French Pacific Franc"
"EUR/ZAR";"Exotic-Cross";"Euro";"South African Rand"
"EUR/ZMK";"Exotic-Cross";"Euro";"Zambia Kwacha"
"FJD/USD";"Exotic";"Fiji Dollar";"US Dollar"
"FKP/USD";"Major";"Falkland Islands Pound";"US Dollar"
"GBP/AED";"Exotic-Cross";"British Pound";"UAE Dirham"
"GBP/ALL";"Exotic-Cross";"British Pound";"Albanian Lek"
"GBP/ARS";"Exotic-Cross";"British Pound";"Argentinian Peso"
"GBP/AUD";"Minor";"British Pound";"Australian Dollar"
"GBP/BBD";"Exotic-Cross";"British Pound";"Barbadian Dollar"
"GBP/BDT";"Exotic-Cross";"British Pound";"Bangladeshi Taka"
"GBP/BGN";"Exotic-Cross";"British Pound";"Bulgarian Lev"
"GBP/BHD";"Exotic-Cross";"British Pound";"Baharain Dinar"
"GBP/BIF";"Exotic-Cross";"British Pound";"Burundian Franc"
"GBP/BRL";"Exotic-Cross";"British Pound";"Brazil Real"
"GBP/BSD";"Exotic-Cross";"British Pound";"Bahamas Dollar"
"GBP/BWP";"Exotic-Cross";"British Pound";"Botswana Pula"
"GBP/BYN";"Exotic-Cross";"British Pound";"Belarusian Ruble"
"GBP/CAD";"Minor";"British Pound";"Canadian Dollar"
"GBP/CHF";"Minor";"British Pound";"Swiss Franc"
"GBP/CLP";"Exotic-Cross";"British Pound";"Chilean Peso"
"GBP/CNY";"Exotic-Cross";"British Pound";"Chinese Yuan"
"GBP/COP";"Exotic-Cross";"British Pound";"Colombian Peso"
"GBP/CRC";"Exotic-Cross";"British Pound";"Costa Rican Colon"
"GBP/CZK";"Exotic-Cross";"British Pound";"Czech Koruna"
"GBP/DJF";"Exotic-Cross";"British Pound";"Djiboutian Franc"
"GBP/DKK";"Exotic-Cross";"British Pound";"Danish Krone"
"GBP/DOP";"Exotic-Cross";"British Pound";"Dominican Peso"
"GBP/DZD";"Exotic-Cross";"British Pound";"Algerian Dinar"
"GBP/EGP";"Exotic-Cross";"British Pound";"Egyptian Pound"
"GBP/ETB";"Exotic-Cross";"British Pound";"Ethiopian Birr"
"GBP/EUR";"Minor";"British Pound";"Euro"
"GBP/FJD";"Exotic-Cross";"British Pound";"Fiji Dollar"
"GBP/GMD";"Exotic-Cross";"British Pound";"Gambian Dalasi"
"GBP/GTQ";"Exotic-Cross";"British Pound";"Guatemalan Quetzal"
"GBP/HKD";"Exotic-Cross";"British Pound";"Hong Kong Dollar"
"GBP/HNL";"Exotic-Cross";"British Pound";"Honduran Lempira"
"GBP/HTG";"Exotic-Cross";"British Pound";"Haitian Gourde"
"GBP/HUF";"Exotic-Cross";"British Pound";"Hungarian Forint"
"GBP/IDR";"Exotic-Cross";"British Pound";"Indonesian Rupiah"
"GBP/ILS";"Exotic-Cross";"British Pound";"Israeli Shekel"
"GBP/INR";"Exotic-Cross";"British Pound";"Indian Rupee"
"GBP/IQD";"Exotic-Cross";"British Pound";"Iraqi Dinar"
"GBP/IRR";"Exotic-Cross";"British Pound";"Iranian Rial"
"GBP/ISK";"Exotic-Cross";"British Pound";"Icelandic Krona"
"GBP/JMD";"Exotic-Cross";"British Pound";"Jamaican Dollar"
"GBP/JOD";"Exotic-Cross";"British Pound";"Jordan Dinar"
"GBP/JPY";"Minor";"British Pound";"Japanese Yen"
"GBP/KES";"Exotic-Cross";"British Pound";"Kenyan Shilling"
"GBP/KRW";"Exotic-Cross";"British Pound";"Korean Won"
"GBP/KWD";"Exotic-Cross";"British Pound";"Kuwaiti Dinar"
"GBP/KZT";"Exotic-Cross";"British Pound";"Kazakh Tenge"
"GBP/LBP";"Exotic-Cross";"British Pound";"Lebanese Pound"
"GBP/LKR";"Exotic-Cross";"British Pound";"Sri Lankan Rupee"
"GBP/MAD";"Exotic-Cross";"British Pound";"Moroccan Dirham"
"GBP/MUR";"Exotic-Cross";"British Pound";"Mauritian Rupee"
"GBP/MWK";"Exotic-Cross";"British Pound";"Malawian Kwacha"
"GBP/MXN";"Exotic-Cross";"British Pound";"Mexican Peso"
"GBP/MYR";"Exotic-Cross";"British Pound";"Malaysian Ringgit"
"GBP/NAD";"Exotic-Cross";"British Pound";"Namibian Dollar"
"GBP/NGN";"Exotic-Cross";"British Pound";"Nigerian Naira"
"GBP/NIO";"Exotic-Cross";"British Pound";"Nicaraguan Cordoba"
"GBP/NOK";"Exotic-Cross";"British Pound";"Norwegian Krone"
"GBP/NPR";"Minor";"British Pound";"Nepalese Rupee"
"GBP/NZD";"Minor";"British Pound";"New Zealand Dollar"
"GBP/OMR";"Exotic-Cross";"British Pound";"Omani Rial"
"GBP/PAB";"Exotic-Cross";"British Pound";"Panamanian Balboa"
"GBP/PEN";"Exotic-Cross";"British Pound";"Peru Sol"
"GBP/PGK";"Exotic-Cross";"British Pound";"Papua New Guinean kina"
"GBP/PHP";"Exotic-Cross";"British Pound";"Philippine Peso"
"GBP/PKR";"Exotic-Cross";"British Pound";"Pakistani Rupee"
"GBP/PLN";"Exotic-Cross";"British Pound";"Polish Zloty"
"GBP/QAR";"Exotic-Cross";"British Pound";"Qatari Riyal"
"GBP/RON";"Exotic-Cross";"British Pound";"Romanian Leu"
"GBP/RUB";"Exotic-Cross";"British Pound";"Russian Ruble"
"GBP/SAR";"Exotic-Cross";"British Pound";"Saudi Riyal"
"GBP/SCR";"Exotic-Cross";"British Pound";"Seychelles Rupee"
"GBP/SEK";"Exotic-Cross";"British Pound";"Swedish Krona"
"GBP/SGD";"Exotic-Cross";"British Pound";"Singapore Dollar"
"GBP/SZL";"Exotic-Cross";"British Pound";"Swazi Lilangeni"
"GBP/THB";"Exotic-Cross";"British Pound";"Thai Baht"
"GBP/TND";"Exotic-Cross";"British Pound";"Tunisian Dinar"
"GBP/TRY";"Exotic-Cross";"British Pound";"Turkish Lira"
"GBP/TTD";"Exotic-Cross";"British Pound";"Trinidad Dollar"
"GBP/TWD";"Exotic-Cross";"British Pound";"Taiwan Dollar"
"GBP/TZS";"Exotic-Cross";"British Pound";"Tanzanian Shilling"
"GBP/UAH";"Exotic-Cross";"British Pound";"Ukrainian Hryvnia"
"GBP/UGX";"Exotic-Cross";"British Pound";"Ugandan Shilling"
"GBP/USD";"Major";"British Pound";"US Dollar"
"GBP/VND";"Exotic-Cross";"British Pound";"Vietnamese Dong"
"GBP/XAF";"Exotic-Cross";"British Pound";"Central African CFA franc"
"GBP/XCD";"Exotic-Cross";"British Pound";"East Caribbean Dollar"
"GBP/XOF";"Exotic-Cross";"British Pound";"West African CFA franc"
"GBP/XPF";"Exotic-Cross";"British Pound";"French Pacific Franc"
"GBP/ZAR";"Exotic-Cross";"British Pound";"South African Rand"
"GEL/RUB";"Minor";"Georgian lari";"Russian Ruble"
"GHS/EUR";"Exotic-Cross";"Ghanaian Cedi";"Euro"
"GHS/USD";"Exotic";"Ghanaian Cedi";"US Dollar"
"GIP/USD";"Major";"Gibraltar Pound";"US Dollar"
"HKD/AED";"Exotic-Cross";"Hong Kong Dollar";"UAE Dirham"
"HKD/AUD";"Exotic-Cross";"Hong Kong Dollar";"Australian Dollar"
"HKD/BBD";"Exotic-Cross";"Hong Kong Dollar";"Barbadian Dollar"
"HKD/BRL";"Exotic-Cross";"Hong Kong Dollar";"Brazil Real"
"HKD/CAD";"Exotic-Cross";"Hong Kong Dollar";"Canadian Dollar"
"HKD/CHF";"Exotic-Cross";"Hong Kong Dollar";"Swiss Franc"
"HKD/CNY";"Exotic-Cross";"Hong Kong Dollar";"Chinese Yuan"
"HKD/DKK";"Exotic-Cross";"Hong Kong Dollar";"Danish Krone"
"HKD/EUR";"Exotic-Cross";"Hong Kong Dollar";"Euro"
"HKD/GBP";"Exotic-Cross";"Hong Kong Dollar";"British Pound"
"HKD/IDR";"Exotic-Cross";"Hong Kong Dollar";"Indonesian Rupiah"
"HKD/ILS";"Exotic-Cross";"Hong Kong Dollar";"Israeli Shekel"
"HKD/INR";"Exotic-Cross";"Hong Kong Dollar";"Indian Rupee"
"HKD/JMD";"Exotic-Cross";"Hong Kong Dollar";"Jamaican Dollar"
"HKD/JPY";"Exotic-Cross";"Hong Kong Dollar";"Japanese Yen"
"HKD/KRW";"Exotic-Cross";"Hong Kong Dollar";"Korean Won"
"HKD/LKR";"Exotic-Cross";"Hong Kong Dollar";"Sri Lankan Rupee"
"HKD/MXN";"Exotic-Cross";"Hong Kong Dollar";"Mexican Peso"
"HKD/MYR";"Exotic-Cross";"Hong Kong Dollar";"Malaysian Ringgit"
"HKD/NAD";"Exotic-Cross";"Hong Kong Dollar";"Namibian Dollar"
"HKD/NOK";"Exotic-Cross";"Hong Kong Dollar";"Norwegian Krone"
"HKD/NPR";"Exotic-Cross";"Hong Kong Dollar";"Nepalese Rupee"
"HKD/NZD";"Exotic-Cross";"Hong Kong Dollar";"New Zealand Dollar"
"HKD/OMR";"Exotic-Cross";"Hong Kong Dollar";"Omani Rial"
"HKD/PAB";"Exotic-Cross";"Hong Kong Dollar";"Panamanian Balboa"
"HKD/PHP";"Exotic-Cross";"Hong Kong Dollar";"Philippine Peso"
"HKD/PKR";"Exotic-Cross";"Hong Kong Dollar";"Pakistani Rupee"
"HKD/PLN";"Exotic-Cross";"Hong Kong Dollar";"Polish Zloty"
"HKD/RON";"Exotic-Cross";"Hong Kong Dollar";"Romanian Leu"
"HKD/SEK";"Exotic-Cross";"Hong Kong Dollar";"Swedish Krona"
"HKD/SGD";"Exotic-Cross";"Hong Kong Dollar";"Singapore Dollar"
"HKD/THB";"Exotic-Cross";"Hong Kong Dollar";"Thai Baht"
"HKD/TWD";"Exotic-Cross";"Hong Kong Dollar";"Taiwan Dollar"
"HKD/USD";"Exotic";"Hong Kong Dollar";"US Dollar"
"HKD/XAF";"Exotic-Cross";"Hong Kong Dollar";"Central African CFA franc"
"HKD/XCD";"Exotic-Cross";"Hong Kong Dollar";"East Caribbean Dollar"
"HKD/XOF";"Exotic-Cross";"Hong Kong Dollar";"West African CFA franc"
"HKD/ZAR";"Exotic-Cross";"Hong Kong Dollar";"South African Rand"
"HUF/CLP";"Exotic-Cross";"Hungarian Forint";"Chilean Peso"
"HUF/EUR";"Minor";"Hungarian Forint";"Euro"
"HUF/JMD";"Exotic-Cross";"Hungarian Forint";"Jamaican Dollar"
"HUF/JPY";"Exotic-Cross";"Hungarian Forint";"Japanese Yen"
"HUF/LBP";"Exotic-Cross";"Hungarian Forint";"Lebanese Pound"
"HUF/NPR";"Exotic-Cross";"Hungarian Forint";"Nepalese Rupee"
"HUF/PKR";"Exotic-Cross";"Hungarian Forint";"Pakistani Rupee"
"HUF/USD";"Minor";"Hungarian Forint";"US Dollar"
"HUF/XAF";"Exotic-Cross";"Hungarian Forint";"Central African CFA franc"
"HUF/XOF";"Exotic-Cross";"Hungarian Forint";"West African CFA franc"
"IDR/AUD";"Minor";"Indonesian Rupiah";"Australian Dollar"
"IDR/CAD";"Exotic-Cross";"Indonesian Rupiah";"Canadian Dollar"
"IDR/CHF";"Minor";"Indonesian Rupiah";"Swiss Franc"
"IDR/CNY";"Exotic-Cross";"Indonesian Rupiah";"Chinese Yuan"
"IDR/EUR";"Minor";"Indonesian Rupiah";"Euro"
"IDR/GBP";"Minor";"Indonesian Rupiah";"British Pound"
"IDR/INR";"Exotic-Cross";"Indonesian Rupiah";"Indian Rupee"
"IDR/JPY";"Exotic-Cross";"Indonesian Rupiah";"Japanese Yen"
"IDR/KRW";"Exotic-Cross";"Indonesian Rupiah";"Korean Won"
"IDR/THB";"Exotic-Cross";"Indonesian Rupiah";"Thai Baht"
"IDR/TWD";"Exotic-Cross";"Indonesian Rupiah";"Taiwan Dollar"
"IDR/USD";"Minor";"Indonesian Rupiah";"US Dollar"
"ILS/ARS";"Exotic-Cross";"Israeli Shekel";"Argentinian Peso"
"ILS/BBD";"Exotic-Cross";"Israeli Shekel";"Barbadian Dollar"
"ILS/BGN";"Minor";"Israeli Shekel";"Bulgarian Lev"
"ILS/BHD";"Exotic-Cross";"Israeli Shekel";"Baharain Dinar"
"ILS/BRL";"Exotic-Cross";"Israeli Shekel";"Brazil Real"
"ILS/CHF";"Exotic-Cross";"Israeli Shekel";"Swiss Franc"
"ILS/COP";"Minor";"Israeli Shekel";"Colombian Peso"
"ILS/EUR";"Exotic-Cross";"Israeli Shekel";"Euro"
"ILS/GBP";"Exotic-Cross";"Israeli Shekel";"British Pound"
"ILS/HKD";"Exotic-Cross";"Israeli Shekel";"Hong Kong Dollar"
"ILS/JMD";"Exotic-Cross";"Israeli Shekel";"Jamaican Dollar"
"ILS/JPY";"Exotic-Cross";"Israeli Shekel";"Japanese Yen"
"ILS/LBP";"Exotic-Cross";"Israeli Shekel";"Lebanese Pound"
"ILS/MYR";"Exotic-Cross";"Israeli Shekel";"Malaysian Ringgit"
"ILS/NAD";"Exotic-Cross";"Israeli Shekel";"Namibian Dollar"
"ILS/NPR";"Exotic-Cross";"Israeli Shekel";"Nepalese Rupee"
"ILS/PAB";"Exotic-Cross";"Israeli Shekel";"Panamanian Balboa"
"ILS/PEN";"Minor";"Israeli Shekel";"Peru Sol"
"ILS/PKR";"Exotic-Cross";"Israeli Shekel";"Pakistani Rupee"
"ILS/PLN";"Exotic-Cross";"Israeli Shekel";"Polish Zloty"
"ILS/RON";"Exotic-Cross";"Israeli Shekel";"Romanian Leu"
"ILS/SGD";"Exotic-Cross";"Israeli Shekel";"Singapore Dollar"
"ILS/TWD";"Exotic-Cross";"Israeli Shekel";"Taiwan Dollar"
"ILS/UAH";"Minor";"Israeli Shekel";"Ukrainian Hryvnia"
"ILS/USD";"Exotic";"Israeli Shekel";"US Dollar"
"ILS/UYU";"Minor";"Israeli Shekel";"Uruguayan Peso"
"ILS/VEF";"Exotic-Cross";"Israeli Shekel";"Venezuelan Bolivar"
"ILS/XAF";"Exotic-Cross";"Israeli Shekel";"Central African CFA franc"
"ILS/XCD";"Exotic-Cross";"Israeli Shekel";"East Caribbean Dollar"
"ILS/XOF";"Exotic-Cross";"Israeli Shekel";"West African CFA franc"
"INR/BRL";"Minor";"Indian Rupee";"Brazil Real"
"INR/CLP";"Exotic-Cross";"Indian Rupee";"Chilean Peso"
"INR/CNY";"Exotic-Cross";"Indian Rupee";"Chinese Yuan"
"INR/EUR";"Exotic-Cross";"Indian Rupee";"Euro"
"INR/GBP";"Exotic-Cross";"Indian Rupee";"British Pound"
"INR/HKD";"Exotic-Cross";"Indian Rupee";"Hong Kong Dollar"
"INR/IDR";"Exotic-Cross";"Indian Rupee";"Indonesian Rupiah"
"INR/JMD";"Exotic-Cross";"Indian Rupee";"Jamaican Dollar"
"INR/JPY";"Exotic-Cross";"Indian Rupee";"Japanese Yen"
"INR/KRW";"Exotic-Cross";"Indian Rupee";"Korean Won"
"INR/LBP";"Exotic-Cross";"Indian Rupee";"Lebanese Pound"
"INR/MYR";"Exotic-Cross";"Indian Rupee";"Malaysian Ringgit"
"INR/NAD";"Exotic-Cross";"Indian Rupee";"Namibian Dollar"
"INR/NPR";"Exotic-Cross";"Indian Rupee";"Nepalese Rupee"
"INR/PHP";"Exotic-Cross";"Indian Rupee";"Philippine Peso"
"INR/PKR";"Exotic-Cross";"Indian Rupee";"Pakistani Rupee"
"INR/RUB";"Exotic-Cross";"Indian Rupee";"Russian Ruble"
"INR/THB";"Exotic-Cross";"Indian Rupee";"Thai Baht"
"INR/TWD";"Exotic-Cross";"Indian Rupee";"Taiwan Dollar"
"INR/USD";"Exotic";"Indian Rupee";"US Dollar"
"INR/XAF";"Exotic-Cross";"Indian Rupee";"Central African CFA franc"
"INR/XOF";"Exotic-Cross";"Indian Rupee";"West African CFA franc"
"INR/ZAR";"Exotic-Cross";"Indian Rupee";"South African Rand"
"IQD/USD";"Minor";"Iraqi Dinar";"US Dollar"
"IRR/USD";"Minor";"Iranian Rial";"US Dollar"
"ISK/CHF";"Exotic-Cross";"Icelandic Krona";"Swiss Franc"
"ISK/CLP";"Exotic-Cross";"Icelandic Krona";"Chilean Peso"
"ISK/JMD";"Exotic-Cross";"Icelandic Krona";"Jamaican Dollar"
"ISK/LBP";"Exotic-Cross";"Icelandic Krona";"Lebanese Pound"
"ISK/NPR";"Exotic-Cross";"Icelandic Krona";"Nepalese Rupee"
"ISK/PKR";"Exotic-Cross";"Icelandic Krona";"Pakistani Rupee"
"ISK/XAF";"Exotic-Cross";"Icelandic Krona";"Central African CFA franc"
"ISK/XOF";"Exotic-Cross";"Icelandic Krona";"West African CFA franc"
"JOD/EUR";"Minor";"Jordan Dinar";"Euro"
"JOD/GBP";"Minor";"Jordan Dinar";"British Pound"
"JOD/USD";"Minor";"Jordan Dinar";"US Dollar"
"JPY/AED";"Exotic-Cross";"Japanese Yen";"UAE Dirham"
"JPY/ARS";"Exotic-Cross";"Japanese Yen";"Argentinian Peso"
"JPY/AUD";"Minor";"Japanese Yen";"Australian Dollar"
"JPY/BRL";"Exotic-Cross";"Japanese Yen";"Brazil Real"
"JPY/BYN";"Exotic-Cross";"Japanese Yen";"Belarusian Ruble"
"JPY/CAD";"Minor";"Japanese Yen";"Canadian Dollar"
"JPY/CHF";"Minor";"Japanese Yen";"Swiss Franc"
"JPY/CLP";"Exotic-Cross";"Japanese Yen";"Chilean Peso"
"JPY/CNY";"Exotic-Cross";"Japanese Yen";"Chinese Yuan"
"JPY/CZK";"Exotic-Cross";"Japanese Yen";"Czech Koruna"
"JPY/DKK";"Exotic-Cross";"Japanese Yen";"Danish Krone"
"JPY/EGP";"Exotic-Cross";"Japanese Yen";"Egyptian Pound"
"JPY/EUR";"Minor";"Japanese Yen";"Euro"
"JPY/GBP";"Minor";"Japanese Yen";"British Pound"
"JPY/HKD";"Exotic-Cross";"Japanese Yen";"Hong Kong Dollar"
"JPY/HUF";"Exotic-Cross";"Japanese Yen";"Hungarian Forint"
"JPY/IDR";"Exotic-Cross";"Japanese Yen";"Indonesian Rupiah"
"JPY/ILS";"Exotic-Cross";"Japanese Yen";"Israeli Shekel"
"JPY/INR";"Exotic-Cross";"Japanese Yen";"Indian Rupee"
"JPY/ISK";"Exotic-Cross";"Japanese Yen";"Icelandic Krona"
"JPY/JMD";"Exotic-Cross";"Japanese Yen";"Jamaican Dollar"
"JPY/JOD";"Exotic-Cross";"Japanese Yen";"Jordan Dinar"
"JPY/KES";"Exotic-Cross";"Japanese Yen";"Kenyan Shilling"
"JPY/KRW";"Exotic-Cross";"Japanese Yen";"Korean Won"
"JPY/KWD";"Exotic-Cross";"Japanese Yen";"Kuwaiti Dinar"
"JPY/LBP";"Exotic-Cross";"Japanese Yen";"Lebanese Pound"
"JPY/LKR";"Exotic-Cross";"Japanese Yen";"Sri Lankan Rupee"
"JPY/MXN";"Exotic-Cross";"Japanese Yen";"Mexican Peso"
"JPY/MYR";"Exotic-Cross";"Japanese Yen";"Malaysian Ringgit"
"JPY/NOK";"Exotic-Cross";"Japanese Yen";"Norwegian Krone"
"JPY/NPR";"Exotic-Cross";"Japanese Yen";"Nepalese Rupee"
"JPY/NZD";"Minor";"Japanese Yen";"New Zealand Dollar"
"JPY/PHP";"Exotic-Cross";"Japanese Yen";"Philippine Peso"
"JPY/PKR";"Exotic-Cross";"Japanese Yen";"Pakistani Rupee"
"JPY/PLN";"Exotic-Cross";"Japanese Yen";"Polish Zloty"
"JPY/RUB";"Exotic-Cross";"Japanese Yen";"Russian Ruble"
"JPY/SAR";"Exotic-Cross";"Japanese Yen";"Saudi Riyal"
"JPY/SEK";"Exotic-Cross";"Japanese Yen";"Swedish Krona"
"JPY/SGD";"Exotic-Cross";"Japanese Yen";"Singapore Dollar"
"JPY/THB";"Exotic-Cross";"Japanese Yen";"Thai Baht"
"JPY/TRY";"Minor";"Japanese Yen";"Turkish Lira"
"JPY/TWD";"Exotic-Cross";"Japanese Yen";"Taiwan Dollar"
"JPY/UAH";"Exotic-Cross";"Japanese Yen";"Ukrainian Hryvnia"
"JPY/USD";"Major";"Japanese Yen";"US Dollar"
"JPY/XAF";"Exotic-Cross";"Japanese Yen";"Central African CFA franc"
"JPY/XOF";"Exotic-Cross";"Japanese Yen";"West African CFA franc"
"JPY/ZAR";"Exotic-Cross";"Japanese Yen";"South African Rand"
"KGS/RUB";"Minor";"Kyrgyzstan som";"Russian Ruble"
"KRW/AUD";"Exotic-Cross";"Korean Won";"Australian Dollar"
"KRW/CAD";"Exotic-Cross";"Korean Won";"Canadian Dollar"
"KRW/CHF";"Exotic-Cross";"Korean Won";"Swiss Franc"
"KRW/CNY";"Exotic-Cross";"Korean Won";"Chinese Yuan"
"KRW/EUR";"Exotic-Cross";"Korean Won";"Euro"
"KRW/GBP";"Exotic-Cross";"Korean Won";"British Pound"
"KRW/HKD";"Exotic-Cross";"Korean Won";"Hong Kong Dollar"
"KRW/IDR";"Exotic-Cross";"Korean Won";"Indonesian Rupiah"
"KRW/INR";"Exotic-Cross";"Korean Won";"Indian Rupee"
"KRW/JPY";"Exotic-Cross";"Korean Won";"Japanese Yen"
"KRW/MYR";"Exotic-Cross";"Korean Won";"Malaysian Ringgit"
"KRW/SGD";"Exotic-Cross";"Korean Won";"Singapore Dollar"
"KRW/THB";"Exotic-Cross";"Korean Won";"Thai Baht"
"KRW/TWD";"Exotic-Cross";"Korean Won";"Taiwan Dollar"
"KRW/USD";"Exotic";"Korean Won";"US Dollar"
"KRW/ZAR";"Exotic-Cross";"Korean Won";"South African Rand"
"KWD/EUR";"Minor";"Kuwaiti Dinar";"Euro"
"KWD/GBP";"Exotic-Cross";"Kuwaiti Dinar";"British Pound"
"KWD/JPY";"Exotic-Cross";"Kuwaiti Dinar";"Japanese Yen"
"KWD/MYR";"Minor";"Kuwaiti Dinar";"Malaysian Ringgit"
"KWD/PKR";"Exotic-Cross";"Kuwaiti Dinar";"Pakistani Rupee"
"KWD/SGD";"Minor";"Kuwaiti Dinar";"Singapore Dollar"
"KWD/USD";"Minor";"Kuwaiti Dinar";"US Dollar"
"KYD/USD";"Exotic";"Cayman Islands Dollar";"US Dollar"
"MAD/EUR";"Exotic-Cross";"Moroccan Dirham";"Euro"
"MDL/RUB";"Minor";"Moldovan Leu";"Russian Ruble"
"MXN/AUD";"Exotic-Cross";"Mexican Peso";"Australian Dollar"
"MXN/BBD";"Exotic-Cross";"Mexican Peso";"Barbadian Dollar"
"MXN/BRL";"Exotic-Cross";"Mexican Peso";"Brazil Real"
"MXN/CAD";"Exotic-Cross";"Mexican Peso";"Canadian Dollar"
"MXN/CHF";"Exotic-Cross";"Mexican Peso";"Swiss Franc"
"MXN/DKK";"Exotic-Cross";"Mexican Peso";"Danish Krone"
"MXN/EUR";"Exotic-Cross";"Mexican Peso";"Euro"
"MXN/GBP";"Exotic-Cross";"Mexican Peso";"British Pound"
"MXN/HKD";"Exotic-Cross";"Mexican Peso";"Hong Kong Dollar"
"MXN/JMD";"Exotic-Cross";"Mexican Peso";"Jamaican Dollar"
"MXN/JPY";"Exotic-Cross";"Mexican Peso";"Japanese Yen"
"MXN/LBP";"Exotic-Cross";"Mexican Peso";"Lebanese Pound"
"MXN/NAD";"Exotic-Cross";"Mexican Peso";"Namibian Dollar"
"MXN/NPR";"Exotic-Cross";"Mexican Peso";"Nepalese Rupee"
"MXN/PAB";"Exotic-Cross";"Mexican Peso";"Panamanian Balboa"
"MXN/PKR";"Exotic-Cross";"Mexican Peso";"Pakistani Rupee"
"MXN/RON";"Exotic-Cross";"Mexican Peso";"Romanian Leu"
"MXN/SGD";"Exotic-Cross";"Mexican Peso";"Singapore Dollar"
